,scan,max_consecutive_b,max_consecutive_y,perc_in_ladder,QValue
446,13712,2,10,1.0,0.0
447,14534,2,9,0.9,0.0
448,10556,2,11,1.0,0.0
449,17511,4,5,1.0,0.0
450,11363,2,8,1.0,0.0
451,16041,2,10,0.9090909090909091,0.0
452,9670,2,11,1.0,0.0
453,10575,2,9,0.8181818181818182,0.0
454,16201,4,8,0.8888888888888888,0.0
455,10721,4,9,1.0,0.0
456,9031,2,11,1.0,0.0
457,12570,3,10,1.0,0.0
458,12297,2,11,1.0,0.0
459,15066,3,8,0.8888888888888888,0.0
460,12663,1,8,1.0,0.0
461,10905,3,9,0.9,0.0
462,10623,3,8,1.0,0.0
463,12479,4,7,1.0,0.0
464,9827,2,11,1.0,0.0
465,11566,1,11,0.9166666666666666,0.0
466,15005,4,9,1.0,0.0
467,12832,5,7,0.875,0.0
468,14556,1,7,0.9166666666666666,0.0
469,15416,3,7,0.9,0.0
470,12540,3,10,1.0,0.0
471,11138,3,9,0.9,0.0
472,14271,3,10,1.0,0.0
473,11084,1,11,0.9166666666666666,0.0
474,9607,3,6,1.0,0.0
475,11360,2,11,1.0,0.0
476,14445,2,11,1.0,0.0
477,8804,3,8,1.0,0.0
478,9404,1,4,0.8333333333333334,0.0
479,10968,2,10,0.9090909090909091,0.0
480,15433,3,6,0.9,0.0
481,12766,7,6,1.0,0.0
482,15846,3,4,0.75,0.0
483,9839,2,10,0.9090909090909091,0.0
484,14044,1,7,0.8181818181818182,0.0
485,16261,3,7,0.9,0.0
486,14267,1,11,1.0,0.0
487,11643,2,9,0.9,0.0
488,16584,4,6,1.0,0.0
489,15100,4,7,1.0,0.0
490,10826,1,11,1.0,0.0
491,11373,4,9,1.0,0.0
492,18625,2,4,1.0,0.0
493,12322,3,10,1.0,0.0
494,15451,2,10,1.0,0.0
495,11588,2,11,1.0,0.0
496,15364,3,6,0.9,0.0
497,9995,3,10,1.0,0.0
498,7827,2,5,1.0,0.0
499,13901,1,11,0.9166666666666666,0.0
500,11550,3,9,1.0,0.0
501,18019,1,12,1.0,0.0
502,15024,4,5,0.875,0.0
503,11458,2,9,0.9,0.0
504,11308,3,9,1.0,0.0
505,14241,2,11,1.0,0.0
506,14804,2,11,1.0,0.0
507,12377,3,9,0.9,0.0
508,9017,1,9,0.9166666666666666,0.0
509,11533,3,6,1.0,0.0
510,14742,3,10,1.0,0.0
511,12325,1,9,0.8181818181818182,0.0
512,11903,2,11,1.0,0.0
513,15920,2,11,1.0,0.0
514,15270,2,10,0.9090909090909091,0.0
515,16013,2,11,1.0,0.0
516,8011,3,9,1.0,0.0
517,13379,3,10,1.0,0.0
518,11503,3,10,1.0,0.0
519,17042,3,10,1.0,0.0
520,13280,1,11,0.8461538461538461,0.0
521,12805,4,6,0.8571428571428571,0.0
522,10883,1,10,1.0,0.0
523,10278,4,8,1.0,0.0
524,7433,2,3,1.0,0.0
525,8940,6,2,0.8,0.0
526,11641,2,9,1.0,0.0
527,8515,1,12,1.0,0.0
528,7102,3,8,1.0,0.0
529,17327,4,5,1.0,0.0
530,9177,2,10,1.0,0.0
531,11199,3,10,1.0,0.0
532,9886,3,10,1.0,0.0
533,9221,2,11,1.0,0.0
534,15221,2,11,1.0,0.0
535,10144,3,7,1.0,0.0
536,15553,3,9,0.9,0.0
537,12564,2,10,1.0,0.0
538,7512,2,6,0.75,0.0
539,10231,2,6,0.9090909090909091,0.0
540,16088,3,5,0.7777777777777778,0.0
541,17223,2,11,1.0,0.0
542,9532,2,10,0.9090909090909091,0.0
543,11884,1,10,1.0,0.0
544,14674,4,5,1.0,0.0
545,13486,3,10,1.0,0.0
546,12763,3,10,1.0,0.0
547,11024,2,11,1.0,0.0
548,16207,2,10,0.9090909090909091,0.0
549,9343,3,7,1.0,0.0
550,11205,3,8,0.8888888888888888,0.0
551,8652,2,7,1.0,0.0
552,17958,3,10,1.0,0.0
553,9292,2,9,1.0,0.0
554,7339,2,11,1.0,0.0
555,7247,4,6,0.8888888888888888,0.0
556,15517,2,7,1.0,0.0
557,15182,2,11,1.0,0.0
558,13925,2,5,0.8181818181818182,0.0
559,12284,2,7,1.0,0.0
560,9004,2,11,1.0,0.0
561,11439,3,9,1.0,0.0
562,8504,2,6,1.0,0.0
563,12546,3,8,0.8,0.0
564,13630,3,6,0.8,0.0
565,12312,7,5,0.8333333333333334,0.0
566,7668,3,5,1.0,0.0
567,7891,3,7,1.0,0.0
568,16890,5,4,0.5714285714285714,0.0
569,13743,3,10,1.0,0.0
570,12939,3,5,1.0,0.0
571,8345,4,4,1.0,0.0
572,13988,3,6,0.9,0.0
573,17163,3,4,1.0,0.0
574,7652,4,7,1.0,0.0
575,9384,1,10,1.0,0.0
576,10540,2,10,1.0,0.0
577,16606,4,7,0.875,0.0
578,14750,3,7,0.7,0.0
579,16269,2,7,0.7777777777777778,0.0
580,15053,3,10,1.0,0.0
581,12299,3,10,1.0,0.0
582,11126,2,11,1.0,0.0
583,11463,3,10,1.0,0.0
584,10082,3,8,1.0,0.0
585,14118,3,10,1.0,0.0
586,11962,4,8,0.8888888888888888,0.0
587,10098,4,6,1.0,0.0
588,10621,5,7,1.0,0.0
589,9693,6,7,1.0,0.0
590,16527,2,6,1.0,0.0
591,13277,5,5,1.0,0.0
592,15641,3,10,1.0,0.0
593,14181,3,10,1.0,0.0
594,17856,5,7,1.0,0.0
595,8878,3,9,0.9,0.0
596,13586,3,3,1.0,0.0
597,12806,2,11,1.0,0.0
598,9052,2,6,1.0,0.0
599,13755,2,10,0.9090909090909091,0.0
600,12528,6,3,0.8571428571428571,0.0
601,11512,3,9,1.0,0.0
602,8567,2,10,1.0,0.0
603,16412,3,5,0.8888888888888888,0.0
604,15495,3,5,0.7777777777777778,0.0
605,7947,3,7,0.875,0.0
606,13485,3,10,1.0,0.0
607,12347,3,10,1.0,0.0
608,10923,2,11,1.0,0.0
609,11687,4,9,1.0,0.0
610,16594,2,11,1.0,0.0
611,12241,5,5,1.0,0.0
612,15309,2,10,1.0,0.0
613,14744,2,11,1.0,0.0
614,16369,5,4,0.6666666666666666,0.0
615,12731,2,8,1.0,0.0
616,18329,4,9,1.0,0.0
617,11957,3,7,1.0,0.0
618,11023,1,11,1.0,0.0
619,15824,2,7,1.0,0.0
620,9395,3,8,0.8888888888888888,0.0
621,9898,4,7,1.0,0.0
622,13998,3,10,1.0,0.0
623,7062,2,11,1.0,0.0
624,11911,1,7,0.9166666666666666,0.0
625,7303,1,9,0.9166666666666666,0.0
626,14508,4,8,1.0,0.0
627,6878,2,9,1.0,0.0
628,6941,2,7,1.0,0.0
629,15683,2,10,1.0,0.0
630,10229,7,6,1.0,0.0
631,8303,1,9,1.0,0.0
632,12828,1,11,0.9166666666666666,0.0
633,15794,2,8,0.9090909090909091,0.0
634,8244,2,8,0.8888888888888888,0.0
635,7526,3,10,1.0,0.0
636,6713,4,7,1.0,0.0
637,11837,4,9,1.0,0.0
638,8117,3,10,1.0,0.0
639,13193,3,10,1.0,0.0
